question,answer,subject,predicate,object
重庆广建装饰股份有限公司的行业大类是什么？,资产管理公司,重庆广建装饰股份有限公司,行业大类,资产管理公司
深圳市振业（集团）股份有限公司的董事？,蒋灿明,深圳市振业（集团）股份有限公司,董事,蒋灿明
邱学文的年龄多大？,55,邱学文,年龄,55
楼建强的年龄？,39,楼建强,年龄,39
杭州中策清泉实业有限公司的债券类型是多少？,超短期融资券,杭州中策清泉实业有限公司,债券类型,超短期融资券
华丰动力股份有限公司的监事是谁？,张全红,华丰动力股份有限公司,监事,张全红
中国人寿保险股份有限公司的董事是？,张祖同,中国人寿保险股份有限公司,董事,张祖同
吉林利源精制股份有限公司的行业大类是多少？,寿险公司,吉林利源精制股份有限公司,行业大类,寿险公司
南昌金沃房地产开发有限公司的供应商是哪家公司？,台塑工业（宁波）有限公司,南昌金沃房地产开发有限公司,供应商,台塑工业（宁波）有限公司
天马轴承集团股份有限公司的董事是谁？,陈长振,天马轴承集团股份有限公司,董事,陈长振
雷海芝的年龄多大？,24,雷海芝,年龄,24
王敏核的年龄是多少？,24,王敏核,年龄,24
中南红文化集团股份有限公司的收入是多少？,2701470,中南红文化集团股份有限公司,收入,2701470
河北荣宏房地产开发有限公司的违规类型？,无,河北荣宏房地产开发有限公司,违规类型,无
朱宝和的年龄？,34,朱宝和,年龄,34
台塑工业（宁波）有限公司的担保是谁？,杭州文化广播电视集团有限公司,台塑工业（宁波）有限公司,担保,杭州文化广播电视集团有限公司
东莞勤上光电股份有限公司的董事是？,陈燕生,东莞勤上光电股份有限公司,董事,陈燕生
赵卓权的年龄是？,26,赵卓权,年龄,26
北京凯英信业科技股份有限公司的董事是？,张旭,北京凯英信业科技股份有限公司,董事,张旭
周军伟的年龄是多少？,66,周军伟,年龄,66
中国人寿保险股份有限公司的违规类型？,未及时披露公司重大事件,中国人寿保险股份有限公司,违规类型,未及时披露公司重大事件
吴卫民的年龄？,25,吴卫民,年龄,25
刘华富的年龄多大？,62,刘华富,年龄,62
夏友富的年龄是？,20,夏友富,年龄,20
北汽福田汽车股份有限公司的监事是谁？,孙鲁安,北汽福田汽车股份有限公司,监事,孙鲁安
许文祥的年龄是多少？,38,许文祥,年龄,38
贵州长征天成控股股份有限公司的违规类型？,其它程序违规,贵州长征天成控股股份有限公司,违规类型,其它程序违规
胡凯的年龄是？,30,胡凯,年龄,30
东风汽车股份有限公司的董事是谁？,Francois Bailly,东风汽车股份有限公司,董事,Francois Bailly
舒宜民的年龄是多少？,44,舒宜民,年龄,44
凯迪生态环境科技股份有限公司的董事是？,王伟,凯迪生态环境科技股份有限公司,董事,王伟
安徽盛运环保（集团）股份有限公司的监事？,王鑫华,安徽盛运环保（集团）股份有限公司,监事,王鑫华
白钢的年龄？,52,白钢,年龄,52
广州星月湾实业发展有限公司的债券类型？,券商专项资产管理,广州星月湾实业发展有限公司,债券类型,券商专项资产管理
开封市文化旅游投资集团有限公司的收入是多少？,7804348,开封市文化旅游投资集团有限公司,收入,7804348
杨红的年龄？,58,杨红,年龄,58
中海阳能源集团股份有限公司的信用评级是什么？,差,中海阳能源集团股份有限公司,信用评级,差
杨兰英的年龄？,35,杨兰英,年龄,35
宁波市兴奉开投建设有限公司的信用评级？,暂无评级,宁波市兴奉开投建设有限公司,信用评级,暂无评级
赵春园的年龄是？,41,赵春园,年龄,41
宁波市兴奉开投建设有限公司的违规类型是多少？,无,宁波市兴奉开投建设有限公司,违规类型,无
开封市文化旅游投资集团有限公司的收益是多少？,7804348,开封市文化旅游投资集团有限公司,收益,7804348
潘龙清的年龄是？,59,潘龙清,年龄,59
临沂金丰公社农业服务有限公司的债券类型是多少？,短期融资券,临沂金丰公社农业服务有限公司,债券类型,短期融资券
王毅的年龄？,63,王毅,年龄,63
华昌达智能装备集团股份有限公司的行业大类是啥？,其它,华昌达智能装备集团股份有限公司,行业大类,其它
赵勤的年龄多大？,36,赵勤,年龄,36
刘强的年龄？,49,刘强,年龄,49
云南云维股份有限公司的监事是？,张来稳,云南云维股份有限公司,监事,张来稳
东莞勤上光电股份有限公司的违规类型是？,无,东莞勤上光电股份有限公司,违规类型,无
苏州锐鸣企业管理有限公司的行业大类是多少？,其他,苏州锐鸣企业管理有限公司,行业大类,其他
衡水中南锦衡房地产有限公司的信用评级？,优,衡水中南锦衡房地产有限公司,信用评级,优
贾小梁的年龄是多少？,38,贾小梁,年龄,38
北京金一文化发展股份有限公司的董事是？,欧阳辉,北京金一文化发展股份有限公司,董事,欧阳辉
陈敏的年龄是多少？,23,陈敏,年龄,23
宋怀远的年龄？,60,宋怀远,年龄,60
罗孝银的年龄是？,52,罗孝银,年龄,52
陈惠仁的年龄？,28,陈惠仁,年龄,28
新大洲控股股份有限公司的董事是谁？,陈戈,新大洲控股股份有限公司,董事,陈戈
金鸿控股集团股份有限公司的债券类型是什么？,公司债,金鸿控股集团股份有限公司,债券类型,公司债
唐文革的年龄是？,58,唐文革,年龄,58
北京金一文化发展股份有限公司的董事是谁？,李清飞,北京金一文化发展股份有限公司,董事,李清飞
嘉兴钇和置业有限公司的信用评级是啥？,优,嘉兴钇和置业有限公司,信用评级,优
大连天宝绿色食品股份有限公司的监事？,赵崴,大连天宝绿色食品股份有限公司,监事,赵崴
汪月祥的年龄是？,63,汪月祥,年龄,63
中国银河证券股份有限公司的董事是谁？,吴毓武,中国银河证券股份有限公司,董事,吴毓武
珠海市金谷园投资有限公司的债券类型？,可交换债券,珠海市金谷园投资有限公司,债券类型,可交换债券
枣庄市恒庆房地产开发有限公司的收益是多少？,8850953,枣庄市恒庆房地产开发有限公司,收益,8850953
陈金霞的年龄多大？,57,陈金霞,年龄,57
杨绍民的年龄是？,37,杨绍民,年龄,37
江西煌盛房地产开发有限公司的违规类型是啥？,无,江西煌盛房地产开发有限公司,违规类型,无
大连天宝绿色食品股份有限公司的监事是？,曲云虹,大连天宝绿色食品股份有限公司,监事,曲云虹
江苏九牧云程置业有限公司的债券类型是什么？,企业债,江苏九牧云程置业有限公司,债券类型,企业债
洪波的年龄多大？,23,洪波,年龄,23
刘根元的年龄是？,62,刘根元,年龄,62
华昌达智能装备集团股份有限公司的行业大类？,其它,华昌达智能装备集团股份有限公司,行业大类,其它
徐景熙的年龄多大？,30,徐景熙,年龄,30
东莞勤上光电股份有限公司的董事？,丁友刚,东莞勤上光电股份有限公司,董事,丁友刚
广东名鳄实业有限公司的债券类型是？,可转换债券,广东名鳄实业有限公司,债券类型,可转换债券
于萍的年龄是多少？,26,于萍,年龄,26
多氟多化工股份有限公司的违规类型是啥？,其它程序违规,多氟多化工股份有限公司,违规类型,其它程序违规
山东扬润营造房地产开发有限责任公司的信用评级是？,差,山东扬润营造房地产开发有限责任公司,信用评级,差
薛峰的年龄是多少？,35,薛峰,年龄,35
吴敏一的年龄？,21,吴敏一,年龄,21
甘肃刚泰控股（集团）股份有限公司的董事？,林皓,甘肃刚泰控股（集团）股份有限公司,董事,林皓
杭州滨泽投资管理有限公司的收入是多少？,5661257,杭州滨泽投资管理有限公司,收入,5661257
河北国傲投资有限公司的行业大类是什么？,寿险公司,河北国傲投资有限公司,行业大类,寿险公司
张满红的年龄多大？,65,张满红,年龄,65
肖炜孝的年龄？,42,肖炜孝,年龄,42
吴惠仙的年龄多大？,40,吴惠仙,年龄,40
重庆北麓置业有限公司的行业大类是啥？,资产管理公司,重庆北麓置业有限公司,行业大类,资产管理公司
北京蓝天瑞德环保技术股份有限公司的监事是？,王小勇,北京蓝天瑞德环保技术股份有限公司,监事,王小勇
韩方明的年龄多大？,26,韩方明,年龄,26
东海证券股份有限公司的行业大类是啥？,投资公司,东海证券股份有限公司,行业大类,投资公司
管春华的年龄是？,58,管春华,年龄,58
南昌城铉房地产开发有限公司的债券类型是多少？,定向工具,南昌城铉房地产开发有限公司,债券类型,定向工具
丁贤德的年龄是多少？,29,丁贤德,年龄,29
